code,contestId,name,partyId,ballotNo,status
KMT-YUN-COUNCIL-5-FB47C61D,YUN-COUNCIL-5,林建鴻,KMT,,REGISTERED
KMT-YUN-COUNCIL-7-80D8090F,YUN-COUNCIL-7,呂佶娜,KMT,,REGISTERED
KMT-CYQ-COUNCIL-1-40DA5280,CYQ-COUNCIL-1,王啓澧,KMT,,REGISTERED
KMT-CYQ-COUNCIL-1-0255A745,CYQ-COUNCIL-1,詹琬蓁,KMT,,REGISTERED
KMT-CYQ-COUNCIL-2-845FDAE8,CYQ-COUNCIL-2,簡嘉憶,KMT,,REGISTERED
KMT-CYQ-COUNCIL-3-153CA683,CYQ-COUNCIL-3,吳思蓉,KMT,,REGISTERED
KMT-CYQ-COUNCIL-3-6840B7AB,CYQ-COUNCIL-3,陳靖雅,KMT,,REGISTERED
KMT-CYQ-COUNCIL-4-8CFDE62E,CYQ-COUNCIL-4,李佳豪,KMT,,REGISTERED
KMT-CYQ-COUNCIL-5-84A76417,CYQ-COUNCIL-5,蔡信典,KMT,,REGISTERED
KMT-CYQ-COUNCIL-6-239C3214,CYQ-COUNCIL-6,詹黃素蓮,KMT,,REGISTERED
KMT-PIF-COUNCIL-1-DDA5A35F,PIF-COUNCIL-1,黃明賢,KMT,,REGISTERED
KMT-PIF-COUNCIL-1-190A0695,PIF-COUNCIL-1,陳揚,KMT,,REGISTERED
KMT-PIF-COUNCIL-1-9F505C72,PIF-COUNCIL-1,蘇資婷,KMT,,REGISTERED
KMT-PIF-COUNCIL-1-EADCFB14,PIF-COUNCIL-1,方華雄,KMT,,REGISTERED
KMT-PIF-COUNCIL-1-24F5A870,PIF-COUNCIL-1,任峻賢,KMT,,REGISTERED
KMT-PIF-COUNCIL-1-2A00ED3C,PIF-COUNCIL-1,陳哲蕙,KMT,,REGISTERED
KMT-PIF-COUNCIL-2-D1FC1571,PIF-COUNCIL-2,宋麗華,KMT,,REGISTERED
KMT-PIF-COUNCIL-2-67EE5928,PIF-COUNCIL-2,盧文瑞,KMT,,REGISTERED
KMT-PIF-COUNCIL-2-1D627676,PIF-COUNCIL-2,王景山,KMT,,REGISTERED
KMT-PIF-COUNCIL-3-382DC0FB,PIF-COUNCIL-3,徐榮耀,KMT,,REGISTERED
KMT-PIF-COUNCIL-3-C8260508,PIF-COUNCIL-3,許馨勻,KMT,,REGISTERED
KMT-PIF-COUNCIL-3-8A02B384,PIF-COUNCIL-3,吳慈慧,KMT,,REGISTERED
KMT-PIF-COUNCIL-3-D18BB039,PIF-COUNCIL-3,李世淦,KMT,,REGISTERED
KMT-PIF-COUNCIL-4-E7044326,PIF-COUNCIL-4,周芸均,KMT,,REGISTERED
KMT-PIF-COUNCIL-4-D6114E29,PIF-COUNCIL-4,胡嘉玲,KMT,,REGISTERED
KMT-PIF-COUNCIL-5-348D00F6,PIF-COUNCIL-5,陳靜芳,KMT,,REGISTERED
KMT-PIF-COUNCIL-6-239F689A,PIF-COUNCIL-6,張榮志,KMT,,REGISTERED
KMT-PIF-COUNCIL-8-A814A2BA,PIF-COUNCIL-8,潘翠雲,KMT,,REGISTERED
KMT-PIF-COUNCIL-10-DB3339D0,PIF-COUNCIL-10,高惠芬,KMT,,REGISTERED
KMT-PIF-COUNCIL-11-7688D493,PIF-COUNCIL-11,邱登星,KMT,,REGISTERED
KMT-PIF-COUNCIL-15-D58B45AB,PIF-COUNCIL-15,許金吉,KMT,,REGISTERED
KMT-ILA-COUNCIL-1-77BEA0C7,ILA-COUNCIL-1,張勝德,KMT,,REGISTERED
KMT-ILA-COUNCIL-1-63CDFB0A,ILA-COUNCIL-1,林岳賢,KMT,,REGISTERED
KMT-ILA-COUNCIL-1-9C8C79AD,ILA-COUNCIL-1,莊淑如,KMT,,REGISTERED
KMT-ILA-COUNCIL-2-F70B4A81,ILA-COUNCIL-2,賴良洲,KMT,,REGISTERED
KMT-ILA-COUNCIL-3-E396B230,ILA-COUNCIL-3,張永德,KMT,,REGISTERED
KMT-ILA-COUNCIL-4-73598158,ILA-COUNCIL-4,黃浴沂,KMT,,REGISTERED
KMT-ILA-COUNCIL-5-DE8083A0,ILA-COUNCIL-5,黃建勇,KMT,,REGISTERED
KMT-ILA-COUNCIL-6-14E6D80F,ILA-COUNCIL-6,黃琤婷,KMT,,REGISTERED
KMT-ILA-COUNCIL-6-50A9CFD2,ILA-COUNCIL-6,陳漢鍾,KMT,,REGISTERED
KMT-ILA-COUNCIL-7-76609CF8,ILA-COUNCIL-7,林義剛,KMT,,REGISTERED
KMT-ILA-COUNCIL-8-18B82456,ILA-COUNCIL-8,楊弘旻,KMT,,REGISTERED
KMT-ILA-COUNCIL-9-FD18C7A3,ILA-COUNCIL-9,曾茂照,KMT,,REGISTERED
KMT-ILA-COUNCIL-10-57774DAB,ILA-COUNCIL-10,黃士駿,KMT,,REGISTERED
KMT-ILA-COUNCIL-12-0BB7D47C,ILA-COUNCIL-12,沈志弘,KMT,,REGISTERED
KMT-HUA-COUNCIL-1-6573614A,HUA-COUNCIL-1,韓林梅,KMT,,REGISTERED
KMT-HUA-COUNCIL-1-CF479360,HUA-COUNCIL-1,徐子芳,KMT,,REGISTERED
KMT-HUA-COUNCIL-1-0319F45F,HUA-COUNCIL-1,黃達祥,KMT,,REGISTERED
KMT-HUA-COUNCIL-2-8C070E4A,HUA-COUNCIL-2,邱光明,KMT,,REGISTERED
KMT-HUA-COUNCIL-2-0DD4BB06,HUA-COUNCIL-2,張美華,KMT,,REGISTERED
KMT-HUA-COUNCIL-3-AC9B8676,HUA-COUNCIL-3,吳建志,KMT,,REGISTERED
KMT-HUA-COUNCIL-3-F8EC3F46,HUA-COUNCIL-3,徐雪玉,KMT,,REGISTERED
KMT-HUA-COUNCIL-3-072F7472,HUA-COUNCIL-3,姜景文,KMT,,REGISTERED
KMT-HUA-COUNCIL-3-FA415F53,HUA-COUNCIL-3,蔡文隆,KMT,,REGISTERED
KMT-HUA-COUNCIL-5-7FB9C05E,HUA-COUNCIL-5,李正文,KMT,,REGISTERED
KMT-HUA-COUNCIL-5-3E60EB6E,HUA-COUNCIL-5,陳進德,KMT,,REGISTERED
KMT-HUA-COUNCIL-6-510C64FB,HUA-COUNCIL-6,林正福,KMT,,REGISTERED
KMT-HUA-COUNCIL-7-B7E6649A,HUA-COUNCIL-7,秀吉•撒夫洛,KMT,,REGISTERED
KMT-HUA-COUNCIL-9-EA26E0AF,HUA-COUNCIL-9,陳群,KMT,,REGISTERED
KMT-HUA-COUNCIL-10-64FED7F8,HUA-COUNCIL-10,金淑敏,KMT,,REGISTERED
KMT-TTT-COUNCIL-1-52AF54CC,TTT-COUNCIL-1,周達三,KMT,,REGISTERED
KMT-TTT-COUNCIL-1-9F7A6D9A,TTT-COUNCIL-1,吳景槐,KMT,,REGISTERED
KMT-TTT-COUNCIL-1-765FAD22,TTT-COUNCIL-1,張國洲,KMT,,REGISTERED
KMT-TTT-COUNCIL-1-2EE2A58E,TTT-COUNCIL-1,傅文鵬,KMT,,REGISTERED
KMT-TTT-COUNCIL-1-1DD62204,TTT-COUNCIL-1,李哲,KMT,,REGISTERED
KMT-TTT-COUNCIL-1-3F6C7EF6,TTT-COUNCIL-1,王春梅,KMT,,REGISTERED
KMT-TTT-COUNCIL-1-4AA22086,TTT-COUNCIL-1,饒慶鈺,KMT,,REGISTERED
KMT-TTT-COUNCIL-2-DA43D14D,TTT-COUNCIL-2,楊招信,KMT,,REGISTERED
KMT-TTT-COUNCIL-3-C2067709,TTT-COUNCIL-3,林東滿,KMT,,REGISTERED
KMT-TTT-COUNCIL-5-017DE95C,TTT-COUNCIL-5,翁麗吟,KMT,,REGISTERED
KMT-TTT-COUNCIL-6-6AB8B0BF,TTT-COUNCIL-6,謝賢裕,KMT,,REGISTERED
KMT-TTT-COUNCIL-7-F008951F,TTT-COUNCIL-7,林琮翰,KMT,,REGISTERED
KMT-TTT-COUNCIL-7-B5E30103,TTT-COUNCIL-7,方賢仁,KMT,,REGISTERED
KMT-TTT-COUNCIL-8-C11445CB,TTT-COUNCIL-8,鄭崗山,KMT,,REGISTERED
KMT-TTT-COUNCIL-9-6ADC1291,TTT-COUNCIL-9,尤忠正,KMT,,REGISTERED
KMT-TTT-COUNCIL-11-B49546EF,TTT-COUNCIL-11,楊秋珍,KMT,,REGISTERED
