contest_id,jurisdiction,party,name_zh,name_en,file,licence,attribution,source_url,status
town-10015010-TOWNSHIP,花蓮縣,TPP,戴于文,,TPP-town-10015010-TOWNSHIP-97B6D8DD.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a581f92e6be5.jpg,已裁切為 avatar
town-10015030-REPRESENTATIVE,花蓮縣,TPP,陳政慈,,TPP-town-10015030-REPRESENTATIVE-EA55FED5.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a4e59294a1ec.jpg,已裁切為 avatar
town-10015050-REPRESENTATIVE,花蓮縣,TPP,楊靖妍,,TPP-town-10015050-REPRESENTATIVE-D885384F.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a4e58d7b35a9.jpg,已裁切為 avatar
town-10015060-REPRESENTATIVE,花蓮縣,TPP,陳咸均,,TPP-town-10015060-REPRESENTATIVE-68996BD7.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a4e58b0dfaa1.jpg,已裁切為 avatar
town-10015130-REPRESENTATIVE,花蓮縣,TPP,卓孝明,,TPP-town-10015130-REPRESENTATIVE-3E028137.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a4e59061012f.jpg,已裁切為 avatar
town-64000370-TOWNSHIP,高雄市,TPP,陳德福,,TPP-town-64000370-TOWNSHIP-9F2BC8C2.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_239.png,已裁切為 avatar
vill-10018020030-VILLAGE,新竹市,TPP,蔡頴德,,TPP-vill-10018020030-VILLAGE-246915C4.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_244.png,已裁切為 avatar
vill-63000060026-VILLAGE,臺北市,TPP,許宇騰,,TPP-vill-63000060026-VILLAGE-DEA61B53.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a5822d78f5bb.jpg,已裁切為 avatar
vill-63000080013-VILLAGE,臺北市,TPP,李孟哲,,TPP-vill-63000080013-VILLAGE-05AFFB21.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/photo_6a58230d081ad.jpg,已裁切為 avatar
vill-66000110026-VILLAGE,臺中市,TPP,王慧娟,,TPP-vill-66000110026-VILLAGE-0EC334D2.webp,政黨／候選人提供,台灣民眾黨提供,https://tainan.olc.tw/p/2026/data/photos/tpp_241.png,已裁切為 avatar
